чт сент. 23 2021,"6, frrr frrr frrrr, 20"
EMG,GSR(Om),HR
['190'],['0']
['94'],['0']
['3059'],['0']
['1320'],['0']
['1'],['0']
['0'],['0']
['0'],['0']
['11'],['0']
['341'],['0']
['587'],['0']
['794'],['0']
['775'],['0']
['808'],['0']
['974'],['0']
['2185'],['0']
['1707'],['0']
['608'],['0']
['0'],['0']
['0'],['0']
['0'],['0']
['2137'],['0']
['813'],['0']
['0'],['0']
['0'],['0']
['0'],['0']
['3068'],['0']
['0'],['0']
['0'],['0']
['0'],['0']
['0'],['0']
['100'],['0']
['0'],['0']
['0'],['0']
['0'],['0']
['0'],['0']
['707'],['0']
['1341'],['0']
['177'],['0']
['1079'],['0']
['926'],['0']
['436'],['0']
['340'],['0']
['273'],['0']
['117'],['0']
['0'],['0']
['226'],['0']
['775'],['0']
['1189'],['20460000.0']
['1147'],['0']
['1026'],['0']
['962'],['0']
['819'],['0']
['484'],['0']
['646'],['0']
['1418'],['0']
['1834'],['0']
['1044'],['0']
['447'],['0']
['429'],['0']
['866'],['0']
['1684'],['0']
['1646'],['0']
['1357'],['0']
['1061'],['0']
['977'],['0']
['1126'],['0']
['1087'],['0']
['835'],['0']
['581'],['0']
['806'],['0']
['1026'],['0']
['1300'],['0']
['1458'],['0']
['1447'],['0']
['1574'],['0']
['1669'],['0']
['1686'],['0']
['1598'],['0']
['1563'],['0']
['1397'],['0']
['1451'],['0']
['1553'],['0']
['1622'],['0']
['1491'],['0']
['1365'],['0']
['1345'],['0']
['1454'],['0']
