пт сент. 10 2021,"4, e e e, 7"
EMG,GSR(Om),HR
2869,0
47,0
0,20460000.0
3,0
0,0
3159,0
3234,0
349,0
2,799200.0
0,5100000.0
3201,10220000.0
3238,0
32,0
3,0
0,0
0,686206.8965517242
3222,389600.0
3241,425217.39130434784
1495,249473.68421052632
2,220941.17647058822
0,268450.7042253521
3009,272571.4285714286
3243,281176.4705882353
3242,242564.10256410256
40,210112.35955056178
0,226746.98795180724
1602,245974.02597402598
3215,268450.7042253521
3240,272571.4285714286
3251,232839.5061728395
40,202608.69565217392
0,226746.98795180724
3124,245974.02597402598
3234,276811.59420289856
3241,249473.68421052632
3244,218139.53488372092
17,210112.35955056178
2,197872.3404255319
3159,193333.33333333334
3241,161238.93805309734
3239,169629.62962962964
3250,195578.94736842104
6,215402.2988505747
1957,245974.02597402598
3232,268450.7042253521
3249,276811.59420289856
3254,256756.75675675675
3241,229756.0975609756
9,226746.98795180724
1976,236000.0
3230,256756.75675675675
3250,253066.66666666666
3250,232839.5061728395
1177,215402.2988505747
0,218139.53488372092
2680,229756.0975609756
3242,239240.50632911394
3235,229756.0975609756
3244,205054.94505494504
23,191134.0206185567
1277,197872.3404255319
3193,210112.35955056178
3242,212727.27272727274
3248,191134.0206185567
3246,145161.29032258064
505,122222.22222222222
1534,91304.34782608696
3193,68658.00865800866
3241,63252.03252032521
3245,60629.92125984252
3250,59073.359073359075
179,58467.43295019157
2039,58467.43295019157
3223,59688.715953307394
3239,59688.715953307394
3248,58467.43295019157
3246,56417.91044776119
2165,55018.31501831502
3230,55294.117647058825
3239,55851.851851851854
3234,55851.851851851854
3246,55294.117647058825
3250,54202.89855072464
3237,53935.01805054152
3237,54202.89855072464
3248,55851.851851851854
3239,55571.9557195572
